"Step","cosmic-field-350 - immediate_reward","cosmic-field-350 - immediate_reward__MIN","cosmic-field-350 - immediate_reward__MAX"
"46347","0","0","0"
"46481","0","0","0"
"46666","0","0","0"
"47050","0","0","0"
"47226","0","0","0"
"47644","0","0","0"
"48002","0","0","0"
"48131","0","0","0"
"48145","0","0","0"
"48204","0","0","0"
"48711","0","0","0"
"48824","0","0","0"
"48967","0","0","0"
"49048","0","0","0"
"49058","1","1","1"
"49089","0","0","0"
"49149","0","0","0"
"49438","0","0","0"
"49612","0","0","0"
"49791","0","0","0"
"49824","0","0","0"
"49927","0","0","0"
"50089","0","0","0"
"50437","0","0","0"
"50500","0","0","0"
"50690","0","0","0"
"50720","0","0","0"
"51029","1","1","1"
"51104","0","0","0"
"51286","0","0","0"
"51441","0","0","0"
"51484","0","0","0"
"52156","0","0","0"
"52362","0","0","0"
"52518","0","0","0"
"52520","1","1","1"
"52623","0","0","0"
"52831","0","0","0"
"52966","1","1","1"
"53044","0","0","0"
"53049","0","0","0"
"53319","0","0","0"
"53672","0","0","0"
"53721","0","0","0"
"53826","0","0","0"
"54086","0","0","0"
"54270","0","0","0"
"54421","0","0","0"
"54522","0","0","0"
"54649","0","0","0"
"54851","0","0","0"
"54859","1","1","1"
"55059","0","0","0"
"55089","0","0","0"
"55576","0","0","0"
"55693","0","0","0"
"55719","0","0","0"
"55903","0","0","0"
"56067","1","1","1"
"56549","0","0","0"
"56604","0","0","0"
"56895","0","0","0"
"57261","0","0","0"
"57281","0","0","0"
"57455","0","0","0"
"57531","0","0","0"
"57578","0","0","0"
"57731","0","0","0"
"57947","0","0","0"
"57953","0","0","0"
"58154","0","0","0"
"58196","0","0","0"
"58230","0","0","0"
"58239","0","0","0"
"58533","0","0","0"
"58781","0","0","0"
"59147","1","1","1"
"59222","0","0","0"
"59309","0","0","0"
"59686","1","1","1"
"59817","1","1","1"
"60081","0","0","0"
"60120","0","0","0"
"60334","0","0","0"
"61031","0","0","0"
"61047","0","0","0"
"61368","0","0","0"
"61891","0","0","0"
"62308","0","0","0"
"62454","0","0","0"
"62657","0","0","0"
"63226","0","0","0"
"63234","0","0","0"
"63632","0","0","0"
"63731","0","0","0"
"64068","0","0","0"
"64127","0","0","0"
"64143","0","0","0"
"64896","0","0","0"
"64980","0","0","0"
"65019","0","0","0"
"65086","0","0","0"
"65096","1","1","1"
"65152","0","0","0"
"65509","0","0","0"
"65592","1","1","1"
"65628","0","0","0"
"65747","0","0","0"
"65949","0","0","0"
"65976","0","0","0"
"66226","0","0","0"
"66236","1","1","1"
"66381","1","1","1"
"66599","0","0","0"
"66832","0","0","0"
"66897","0","0","0"
"67040","0","0","0"
"67202","0","0","0"
"67432","0","0","0"
"67580","0","0","0"
"67894","0","0","0"
"68015","1","1","1"
"68449","0","0","0"
"68976","0","0","0"
"69103","0","0","0"
"69130","0","0","0"
"69202","0","0","0"
"69346","1","1","1"
"69408","0","0","0"
"69517","1","1","1"
"69709","0","0","0"
"69957","0","0","0"
"69983","0","0","0"
"70086","0","0","0"
"70102","0","0","0"
"70130","0","0","0"
"70235","0","0","0"
"70304","0","0","0"
"70484","0","0","0"
"70690","0","0","0"
"70730","0","0","0"
"71120","0","0","0"
"71768","0","0","0"
"71857","0","0","0"
"71927","0","0","0"
"72091","0","0","0"
"72266","0","0","0"
"72268","0","0","0"
"72513","0","0","0"
"73173","0","0","0"
"73243","0","0","0"
"73774","0","0","0"
"73998","0","0","0"
"74309","0","0","0"
"74721","0","0","0"
"74858","0","0","0"
"74943","0","0","0"
"75101","0","0","0"
"75153","0","0","0"
"75327","0","0","0"
"75708","0","0","0"
"75805","1","1","1"
"75927","0","0","0"
"76128","0","0","0"
"76281","0","0","0"
"76283","0","0","0"
"76449","0","0","0"
"76602","0","0","0"
"76643","0","0","0"
"76709","0","0","0"
