"Step","cosmic-field-350 - mean_reward","cosmic-field-350 - mean_reward__MIN","cosmic-field-350 - mean_reward__MAX"
"18948","5","5","5"
"19045","5.2","5.2","5.2"
"19140","4.4","4.4","4.4"
"19231","3.6","3.6","3.6"
"19322","3.5","3.5","3.5"
"19411","3.2","3.2","3.2"
"19496","2.8","2.8","2.8"
"19621","2.3","2.3","2.3"
"19724","2.6","2.6","2.6"
"19829","2.7","2.7","2.7"
"19934","2.4","2.4","2.4"
"20059","2.4","2.4","2.4"
"20156","2.5","2.5","2.5"
"20247","2.3","2.3","2.3"
"20350","2.7","2.7","2.7"
"20431","2.6","2.6","2.6"
"20524","2.7","2.7","2.7"
"20637","2.5","2.5","2.5"
"20762","2.1","2.1","2.1"
"20851","1.9","1.9","1.9"
"20944","1.7","1.7","1.7"
"21045","1.6","1.6","1.6"
"21136","1.5","1.5","1.5"
"21219","1.7","1.7","1.7"
"21340","1.7","1.7","1.7"
"21437","2.1","2.1","2.1"
"21550","2.4","2.4","2.4"
"21637","2.5","2.5","2.5"
"21730","2.5","2.5","2.5"
"21833","2.8","2.8","2.8"
"21918","2.7","2.7","2.7"
"22005","2.8","2.8","2.8"
"22118","3.3","3.3","3.3"
"22237","3.2","3.2","3.2"
"22338","2.8","2.8","2.8"
"22429","2.6","2.6","2.6"
"22556","2.5","2.5","2.5"
"22651","2.6","2.6","2.6"
"22760","2.9","2.9","2.9"
"22863","2.7","2.7","2.7"
"22958","2.9","2.9","2.9"
"23067","3","3","3"
"23160","2.7","2.7","2.7"
"23267","3","3","3"
"23362","3.2","3.2","3.2"
"23469","3.6","3.6","3.6"
"23552","3.3","3.3","3.3"
"23681","4.2","4.2","4.2"
"23780","4.2","4.2","4.2"
"23879","4.3","4.3","4.3"
"23968","4.2","4.2","4.2"
"24077","4.4","4.4","4.4"
"24160","4","4","4"
"24257","4","4","4"
"24366","4.1","4.1","4.1"
"24485","4.1","4.1","4.1"
"24600","4.7","4.7","4.7"
"24717","4.1","4.1","4.1"
"24800","3.9","3.9","3.9"
"24905","3.9","3.9","3.9"
"25024","4.6","4.6","4.6"
"25119","4.4","4.4","4.4"
"25238","4.8","4.8","4.8"
"25347","4.9","4.9","4.9"
"25444","4.6","4.6","4.6"
"25541","4.2","4.2","4.2"
"25646","3.9","3.9","3.9"
"25739","3.6","3.6","3.6"
"25820","3.4","3.4","3.4"
"25911","3.2","3.2","3.2"
"25992","2.3","2.3","2.3"
"26085","2.3","2.3","2.3"
"26190","2.4","2.4","2.4"
"26279","2","2","2"
"26416","2.8","2.8","2.8"
"26529","3.3","3.3","3.3"
"26620","3","3","3"
"26719","3.1","3.1","3.1"
"26848","4.1","4.1","4.1"
"26937","4.1","4.1","4.1"
"27052","4.3","4.3","4.3"
"27145","4.2","4.2","4.2"
"27230","3.7","3.7","3.7"
"27317","3.9","3.9","3.9"
"27444","3.9","3.9","3.9"
"27543","3.6","3.6","3.6"
"27636","3.9","3.9","3.9"
"27739","3.7","3.7","3.7"
"27826","2.7","2.7","2.7"
"27947","2.9","2.9","2.9"
"28036","2.7","2.7","2.7"
"28129","2.5","2.5","2.5"
"28214","2.7","2.7","2.7"
"28295","2.4","2.4","2.4"
"28376","1.5","1.5","1.5"
"28509","1.4","1.4","1.4"
"28604","1.4","1.4","1.4"
"28713","1.6","1.6","1.6"
"28830","2.5","2.5","2.5"
"28917","2.3","2.3","2.3"
"29046","3.2","3.2","3.2"
"29153","3.8","3.8","3.8"
"29252","4","4","4"
"29355","4.3","4.3","4.3"
"29452","4.7","4.7","4.7"
"29577","4.5","4.5","4.5"
"29674","4.5","4.5","4.5"
"29777","4.6","4.6","4.6"
"29860","3.7","3.7","3.7"
"29953","3.8","3.8","3.8"
"30048","2.9","2.9","2.9"
"30135","2.4","2.4","2.4"
"30222","2.1","2.1","2.1"
"30315","2","2","2"
"30424","1.9","1.9","1.9"
"30559","2.9","2.9","2.9"
"30648","2.8","2.8","2.8"
"30787","3.4","3.4","3.4"
"30880","3.5","3.5","3.5"
"30965","3.3","3.3","3.3"
"31068","3.7","3.7","3.7"
"31171","4","4","4"
"31276","4.3","4.3","4.3"
"31383","4.5","4.5","4.5"
"31500","4.5","4.5","4.5"
"31603","3.6","3.6","3.6"
"31696","3.6","3.6","3.6"
"31781","2.6","2.6","2.6"
"31882","2.9","2.9","2.9"
"31981","3.3","3.3","3.3"
"32114","3.9","3.9","3.9"
"32201","3.6","3.6","3.6"
"32316","3.8","3.8","3.8"
"32417","3.8","3.8","3.8"
"32504","3.7","3.7","3.7"
"32597","3.7","3.7","3.7"
"32680","3.5","3.5","3.5"
"32807","4.3","4.3","4.3"
"32906","4.1","4.1","4.1"
"32999","3.9","3.9","3.9"
"33090","3.3","3.3","3.3"
"33183","3.4","3.4","3.4"
"33298","3.5","3.5","3.5"
"33393","3.4","3.4","3.4"
"33500","3.9","3.9","3.9"
"33585","3.7","3.7","3.7"
"33678","3.9","3.9","3.9"
"33797","3.8","3.8","3.8"
"33902","4","4","4"
"34007","4.2","4.2","4.2"
"34100","4.2","4.2","4.2"
"34185","4.1","4.1","4.1"
"34274","3.4","3.4","3.4"
"34365","3.1","3.1","3.1"
"34472","3","3","3"
"34575","3.3","3.3","3.3"
"34688","3.6","3.6","3.6"
"34777","3","3","3"
"34886","3","3","3"
"34979","2.8","2.8","2.8"
"35070","2.6","2.6","2.6"
"35169","2.7","2.7","2.7"
"35282","3.2","3.2","3.2"
"35383","3.5","3.5","3.5"
"35466","2.9","2.9","2.9"
"35555","2.8","2.8","2.8"
"35638","2.3","2.3","2.3"
"35741","2.6","2.6","2.6"
"35880","3.4","3.4","3.4"
"35981","3.4","3.4","3.4"
"36070","3.3","3.3","3.3"
"36157","3.1","3.1","3.1"
"36318","4.2","4.2","4.2"
"36433","4.9","4.9","4.9"
"36552","5.6","5.6","5.6"
"36667","5.9","5.9","5.9"
"36760","6.1","6.1","6.1"
"36875","6.3","6.3","6.3"
"36992","5.6","5.6","5.6"
"37089","5.8","5.8","5.8"
"37204","5.8","5.8","5.8"
"37305","6.4","6.4","6.4"
"37420","5.6","5.6","5.6"
"37503","4.6","4.6","4.6"
"37610","4.1","4.1","4.1"
"37711","4.2","4.2","4.2"
"37828","4.9","4.9","4.9"
"37915","4.2","4.2","4.2"
"38016","4.3","4.3","4.3"
"38097","3.8","3.8","3.8"
"38182","3.7","3.7","3.7"
"38271","3.2","3.2","3.2"
"38466","4","4","4"
"38553","4","4","4"
"38650","4.1","4.1","4.1"
"38771","4.1","4.1","4.1"
"38866","3.4","3.4","3.4"
"38957","3.5","3.5","3.5"
"39054","3.3","3.3","3.3"
"39145","3.6","3.6","3.6"
"39254","4.2","4.2","4.2"
"39379","5.3","5.3","5.3"
"39476","4","4","4"
"39599","4.6","4.6","4.6"
"39682","4.3","4.3","4.3"
"39795","4.3","4.3","4.3"
"39880","4.1","4.1","4.1"
"39975","4.2","4.2","4.2"
"40072","4.1","4.1","4.1"
"40183","3.9","3.9","3.9"
"40270","3.4","3.4","3.4"
"40365","2.3","2.3","2.3"
"40452","2","2","2"
"40569","1.9","1.9","1.9"
"40676","2.1","2.1","2.1"
"40773","1.9","1.9","1.9"
"40882","2.3","2.3","2.3"
"40983","2.5","2.5","2.5"
"41072","2.3","2.3","2.3"
"41157","2.2","2.2","2.2"
"41244","2.1","2.1","2.1"
"41355","2.4","2.4","2.4"
"41456","2.4","2.4","2.4"
"41541","2","2","2"
"41654","2.5","2.5","2.5"
"41757","2.6","2.6","2.6"
"41856","2.3","2.3","2.3"
"41965","2.3","2.3","2.3"
"42068","2.7","2.7","2.7"
"42157","3.1","3.1","3.1"
"42262","3.5","3.5","3.5"
"42395","4.2","4.2","4.2"
"42490","4.4","4.4","4.4"
"42577","4.6","4.6","4.6"
"42670","4.1","4.1","4.1"
"42779","4.1","4.1","4.1"
"42864","4","4","4"
"42965","3.9","3.9","3.9"
"43068","3.7","3.7","3.7"
"43221","4.3","4.3","4.3"
"43308","3.9","3.9","3.9"
"43403","2.8","2.8","2.8"
"43508","3.3","3.3","3.3"
"43671","4","4","4"
"43786","4.2","4.2","4.2"
"43865","3.8","3.8","3.8"
"43984","4.2","4.2","4.2"
"44081","4.2","4.2","4.2"
"44166","3.9","3.9","3.9"
"44279","3.6","3.6","3.6"
"44372","3.7","3.7","3.7"
"44475","4.1","4.1","4.1"
"44602","4.1","4.1","4.1"
"44719","3.8","3.8","3.8"
"44804","3.5","3.5","3.5"
"44891","3.8","3.8","3.8"
"44986","3.4","3.4","3.4"
"45147","4.6","4.6","4.6"
"45254","5.1","5.1","5.1"
"45363","5.2","5.2","5.2"
"45474","5.4","5.4","5.4"
"45601","6","6","6"
"45716","5.8","5.8","5.8"
"45845","6.1","6.1","6.1"
"45948","6.6","6.6","6.6"
"46049","6.3","6.3","6.3"
"46158","6.6","6.6","6.6"
"46265","5.6","5.6","5.6"
"46374","5.7","5.7","5.7"
"46473","5.1","5.1","5.1"
"46586","5.3","5.3","5.3"
"46669","4.4","4.4","4.4"
"46776","4.1","4.1","4.1"
"46893","4.1","4.1","4.1"
"46992","3.7","3.7","3.7"
"47077","3.6","3.6","3.6"
"47170","3.5","3.5","3.5"
"47257","3","3","3"
"47354","2.8","2.8","2.8"
"47473","3.3","3.3","3.3"
"47566","2.9","2.9","2.9"
"47681","3.1","3.1","3.1"
"47774","2.9","2.9","2.9"
"47869","2.1","2.1","2.1"
"47972","2.6","2.6","2.6"
"48075","3.1","3.1","3.1"
"48168","3","3","3"
"48257","3.1","3.1","3.1"
"48360","3.1","3.1","3.1"
"48487","3.3","3.3","3.3"
"48580","3.4","3.4","3.4"
"48683","3.2","3.2","3.2"
"48774","3.5","3.5","3.5"
"48869","3.4","3.4","3.4"
