"Step","cosmic-field-350 - mean_reward","cosmic-field-350 - mean_reward__MIN","cosmic-field-350 - mean_reward__MAX"
"214255","10.1","10.1","10.1"
"214378","9.7","9.7","9.7"
"214487","8.1","8.1","8.1"
"214586","7.7","7.7","7.7"
"214705","7.2","7.2","7.2"
"214816","7.6","7.6","7.6"
"214927","7.2","7.2","7.2"
"215058","7.2","7.2","7.2"
"215175","7.1","7.1","7.1"
"215358","7.6","7.6","7.6"
"215469","7.3","7.3","7.3"
"215610","7.8","7.8","7.8"
"215755","8.5","8.5","8.5"
"215886","8.8","8.8","8.8"
"215973","8","8","8"
"216148","8.6","8.6","8.6"
"216273","9","9","9"
"216374","8.2","8.2","8.2"
"216471","7.6","7.6","7.6"
"216618","7.6","7.6","7.6"
"216787","8.5","8.5","8.5"
"216890","7.9","7.9","7.9"
"217001","6.9","6.9","6.9"
"217134","7.5","7.5","7.5"
"217241","8.2","8.2","8.2"
"217356","7.5","7.5","7.5"
"217441","6.6","6.6","6.6"
"217612","8.4","8.4","8.4"
"217767","9.6","9.6","9.6"
"217980","11.4","11.4","11.4"
"218075","10.3","10.3","10.3"
"218166","10.2","10.2","10.2"
"218309","11","11","11"
"218530","13.8","13.8","13.8"
"218707","15.6","15.6","15.6"
"218858","16.7","16.7","16.7"
"218999","17.6","17.6","17.6"
"219112","16.1","16.1","16.1"
"219277","16.7","16.7","16.7"
"219366","13.6","13.6","13.6"
"219483","14.7","14.7","14.7"
"219626","15.7","15.7","15.7"
"219759","15.6","15.6","15.6"
"219876","12.4","12.4","12.4"
"220117","13.8","13.8","13.8"
"220242","13.1","13.1","13.1"
"220325","12.3","12.3","12.3"
"220440","12.5","12.5","12.5"
"220565","11.5","11.5","11.5"
"220788","14.6","14.6","14.6"
"220951","15.4","15.4","15.4"
"221058","14.6","14.6","14.6"
"221195","14.3","14.3","14.3"
"221336","14.8","14.8","14.8"
"221491","12.5","12.5","12.5"
"221608","12.5","12.5","12.5"
"221759","13.5","13.5","13.5"
"221866","13.3","13.3","13.3"
"221979","12.7","12.7","12.7"
"222094","10.2","10.2","10.2"
"222209","9.1","9.1","9.1"
"222344","9.7","9.7","9.7"
"222529","11.2","11.2","11.2"
"222674","11.2","11.2","11.2"
"222837","10.6","10.6","10.6"
"223024","12.7","12.7","12.7"
"223153","12.3","12.3","12.3"
"223270","12.5","12.5","12.5"
"223381","12.4","12.4","12.4"
"223552","13.3","13.3","13.3"
"223671","13.2","13.2","13.2"
"223816","13.3","13.3","13.3"
"223941","11.8","11.8","11.8"
"224062","11","11","11"
"224193","11","11","11"
"224340","9.3","9.3","9.3"
"224425","8.6","8.6","8.6"
"224572","9.3","9.3","9.3"
"224677","9.5","9.5","9.5"
"224790","8.5","8.5","8.5"
"224939","8.8","8.8","8.8"
"225084","8.8","8.8","8.8"
"225249","10.5","10.5","10.5"
"225350","10.4","10.4","10.4"
"225463","10","10","10"
"225676","13.3","13.3","13.3"
"225861","16.1","16.1","16.1"
"226014","15.4","15.4","15.4"
"226203","18.9","18.9","18.9"
"226322","19.3","19.3","19.3"
"226483","19.9","19.9","19.9"
"226634","20.3","20.3","20.3"
"226731","18.1","18.1","18.1"
"226842","18.1","18.1","18.1"
"226961","18.5","18.5","18.5"
"227062","14.1","14.1","14.1"
"227219","12.7","12.7","12.7"
"227356","12.9","12.9","12.9"
"227451","9.1","9.1","9.1"
"227546","8.4","8.4","8.4"
"227673","7.8","7.8","7.8"
"227808","6.8","6.8","6.8"
"227927","7.3","7.3","7.3"
"228046","7.6","7.6","7.6"
"228161","7.4","7.4","7.4"
"228376","9.8","9.8","9.8"
"228491","9.1","9.1","9.1"
"228670","10.6","10.6","10.6"
"228853","11.6","11.6","11.6"
"228954","11.7","11.7","11.7"
"229069","11.4","11.4","11.4"
"229156","10.9","10.9","10.9"
"229275","10.8","10.8","10.8"
"229376","10.4","10.4","10.4"
"229479","10","10","10"
"229588","7.7","7.7","7.7"
"229691","7.5","7.5","7.5"
"229822","5.9","5.9","5.9"
"229979","6.6","6.6","6.6"
"230098","7.1","7.1","7.1"
"230191","6.7","6.7","6.7"
"230286","6.8","6.8","6.8"
"230383","6.3","6.3","6.3"
"230516","7","7","7"
"230735","11","11","11"
"230982","18.1","18.1","18.1"
"231137","18.9","18.9","18.9"
"231306","20.7","20.7","20.7"
"231435","19.9","19.9","19.9"
"231600","20.1","20.1","20.1"
"231831","23.5","23.5","23.5"
"231948","24.1","24.1","24.1"
"232151","25.8","25.8","25.8"
"232262","25.3","25.3","25.3"
"232371","21.3","21.3","21.3"
"232564","16.9","16.9","16.9"
"232719","17.1","17.1","17.1"
"232828","14.8","14.8","14.8"
"232929","13.9","13.9","13.9"
"233044","13.5","13.5","13.5"
"233151","10.2","10.2","10.2"
"233274","10.2","10.2","10.2"
"233497","12.3","12.3","12.3"
"233592","12.1","12.1","12.1"
"233697","12.4","12.4","12.4"
"233798","9.6","9.6","9.6"
"233927","8.9","8.9","8.9"
"234060","9.5","9.5","9.5"
"234187","10","10","10"
"234296","9.9","9.9","9.9"
"234385","9.7","9.7","9.7"
"234560","11.9","11.9","11.9"
"234663","8.3","8.3","8.3"
"234768","8.5","8.5","8.5"
"234875","8.2","8.2","8.2"
"234978","8.5","8.5","8.5"
"235081","8.1","8.1","8.1"
"235172","7.3","7.3","7.3"
"235271","6.7","6.7","6.7"
"235368","6.5","6.5","6.5"
"235533","8.4","8.4","8.4"
"235630","5.8","5.8","5.8"
"235817","9.5","9.5","9.5"
"236038","12.8","12.8","12.8"
"236189","13.6","13.6","13.6"
"236292","13.4","13.4","13.4"
"236455","15.5","15.5","15.5"
"236578","16.3","16.3","16.3"
"236781","18.3","18.3","18.3"
"236996","22.4","22.4","22.4"
"237103","20.4","20.4","20.4"
"237220","20","20","20"
"237397","18.7","18.7","18.7"
"237518","15.8","15.8","15.8"
"237689","17.9","17.9","17.9"
"237812","18.5","18.5","18.5"
"237989","19.4","19.4","19.4"
"238106","19.2","19.2","19.2"
"238235","18","18","18"
"238400","15.8","15.8","15.8"
"238585","17.8","17.8","17.8"
"238742","19","19","19"
"238837","16.4","16.4","16.4"
"238944","16.1","16.1","16.1"
"239051","13.3","13.3","13.3"
"239180","13.3","13.3","13.3"
"239351","12.1","12.1","12.1"
"239434","11.5","11.5","11.5"
"239567","11.7","11.7","11.7"
"239674","9.8","9.8","9.8"
"239873","10.2","10.2","10.2"
"240080","10.8","10.8","10.8"
"240283","13","13","13"
"240470","14.6","14.6","14.6"
"240583","14.8","14.8","14.8"
"240772","16","16","16"
"240895","14.5","14.5","14.5"
"241080","16.9","16.9","16.9"
"241237","17.5","17.5","17.5"
"241372","17.8","17.8","17.8"
"241533","17.4","17.4","17.4"
"241646","16.2","16.2","16.2"
"241761","14.5","14.5","14.5"
"241876","12.8","12.8","12.8"
"241969","12.4","12.4","12.4"
"242086","11.1","11.1","11.1"
"242317","13.3","13.3","13.3"
"242430","10.9","10.9","10.9"
"242539","9.4","9.4","9.4"
"242686","10.1","10.1","10.1"
"242809","8.9","8.9","8.9"
"242890","8.2","8.2","8.2"
"242985","7.6","7.6","7.6"
"243154","9.1","9.1","9.1"
"243293","9.6","9.6","9.6"
"243418","9.6","9.6","9.6"
"243529","7.3","7.3","7.3"
"243682","8.9","8.9","8.9"
"243803","9.8","9.8","9.8"
"243908","8.8","8.8","8.8"
"244083","10.5","10.5","10.5"
"244182","10.8","10.8","10.8"
"244267","10.7","10.7","10.7"
"244388","9.5","9.5","9.5"
"244523","9.6","9.6","9.6"
"244640","9.5","9.5","9.5"
"244763","9.3","9.3","9.3"
"244884","8.3","8.3","8.3"
"245025","8.7","8.7","8.7"
"245194","10.8","10.8","10.8"
"245315","9.2","9.2","9.2"
"245448","10","10","10"
"245579","10.9","10.9","10.9"
"245754","12.6","12.6","12.6"
"245865","12.3","12.3","12.3"
"246078","15.3","15.3","15.3"
"246215","15.9","15.9","15.9"
"246328","15.8","15.8","15.8"
"246439","14.9","14.9","14.9"
"246598","14","14","14"
"246721","13.7","13.7","13.7"
"246868","13.7","13.7","13.7"
"247041","14.5","14.5","14.5"
"247192","13.1","13.1","13.1"
"247305","13.2","13.2","13.2"
"247410","10","10","10"
"247587","10.4","10.4","10.4"
"247758","11.4","11.4","11.4"
"247927","12.5","12.5","12.5"
"248100","12.9","12.9","12.9"
"248317","15.5","15.5","15.5"
"248474","15.8","15.8","15.8"
"248597","14.7","14.7","14.7"
"248710","14.2","14.2","14.2"
"248833","14.5","14.5","14.5"
"248950","14.7","14.7","14.7"
"249069","14","14","14"
"249182","12.9","12.9","12.9"
"249379","13.8","13.8","13.8"
"249492","12.5","12.5","12.5"
"249659","11","11","11"
"249790","10.5","10.5","10.5"
"249909","10.7","10.7","10.7"
"250022","10.9","10.9","10.9"
"250175","11.8","11.8","11.8"
"250306","12.1","12.1","12.1"
"250439","12.4","12.4","12.4"
"250546","12.3","12.3","12.3"
"250671","10.6","10.6","10.6"
"250878","12.9","12.9","12.9"
"250971","11.5","11.5","11.5"
"251104","11.7","11.7","11.7"
"251237","11.9","11.9","11.9"
"251408","12.2","12.2","12.2"
"251507","10.7","10.7","10.7"
"251672","11.9","11.9","11.9"
"251841","13.2","13.2","13.2"
"251930","12.8","12.8","12.8"
"252053","12.8","12.8","12.8"
"252156","10.2","10.2","10.2"
"252249","10","10","10"
"252434","12.5","12.5","12.5"
"252563","12.5","12.5","12.5"
"252698","12.7","12.7","12.7"
"252899","15","15","15"
"253014","13.3","13.3","13.3"
"253139","11.9","11.9","11.9"
"253260","12.8","12.8","12.8"
"253403","12.9","12.9","12.9"
"253532","13.5","13.5","13.5"
"253631","13.8","13.8","13.8"
"253782","11.4","11.4","11.4"
"253981","12.9","12.9","12.9"
"254270","17.2","17.2","17.2"
"254361","14.7","14.7","14.7"
"254484","15.1","15.1","15.1"
"254625","15.2","15.2","15.2"
"254802","17.6","17.6","17.6"
"254919","17.4","17.4","17.4"
"255050","17.5","17.5","17.5"
"255161","17.6","17.6","17.6"
"255366","18.5","18.5","18.5"
"255533","17.1","17.1","17.1"
"255662","12.2","12.2","12.2"
"255779","12.7","12.7","12.7"
"255950","14.8","14.8","14.8"
"256147","16.9","16.9","16.9"
"256312","15.3","15.3","15.3"
"256439","15.3","15.3","15.3"
"256608","16.4","16.4","16.4"
"256777","17.7","17.7","17.7"
"256878","16.1","16.1","16.1"
"257007","16","16","16"
"257106","15.7","15.7","15.7"
"257335","17.3","17.3","17.3"
"257520","16.9","16.9","16.9"
"257625","14","14","14"
"257744","12.7","12.7","12.7"
"257893","13.7","13.7","13.7"
"258072","13.8","13.8","13.8"
"258225","13","13","13"
"258396","14.9","14.9","14.9"
"258591","16.8","16.8","16.8"
"258718","17.5","17.5","17.5"
"258913","18.1","18.1","18.1"
"259028","16.1","16.1","16.1"
"259229","20.8","20.8","20.8"
"259354","21.4","21.4","21.4"
"259511","21.4","21.4","21.4"
"259644","19.7","19.7","19.7"
"259761","19.5","19.5","19.5"
"259970","20.7","20.7","20.7"
"260097","18.7","18.7","18.7"
"260238","19.1","19.1","19.1"
"260413","18.8","18.8","18.8"
"260532","18.7","18.7","18.7"
"260717","17.5","17.5","17.5"
"260836","17.3","17.3","17.3"
"260927","15.7","15.7","15.7"
"261148","18.6","18.6","18.6"
"261345","22.4","22.4","22.4"
"261504","20.7","20.7","20.7"
"261689","22.5","22.5","22.5"
"261800","21.6","21.6","21.6"
"261921","19.9","19.9","19.9"
"262052","20.3","20.3","20.3"
"262175","17.5","17.5","17.5"
"262332","18.1","18.1","18.1"
"262445","18.2","18.2","18.2"
"262616","16.3","16.3","16.3"
"262777","13.9","13.9","13.9"
"262924","13.3","13.3","13.3"
"263023","10.9","10.9","10.9"
"263194","13.7","13.7","13.7"
"263309","13.6","13.6","13.6"
"263436","13.2","13.2","13.2"
"263557","13.2","13.2","13.2"
"263682","12.7","12.7","12.7"
"263911","15.1","15.1","15.1"
"263998","13.5","13.5","13.5"
"264111","12.3","12.3","12.3"
"264228","11.7","11.7","11.7"
"264391","13.8","13.8","13.8"
"264510","11.2","11.2","11.2"
"264633","11.2","11.2","11.2"
"264820","12.8","12.8","12.8"
"264977","13.4","13.4","13.4"
"265218","15.7","15.7","15.7"
"265381","15.4","15.4","15.4"
"265472","15.8","15.8","15.8"
"265569","15.2","15.2","15.2"
"265748","17.1","17.1","17.1"
"265915","16.8","16.8","16.8"
"266020","16.5","16.5","16.5"
"266111","15.8","15.8","15.8"
"266298","15.7","15.7","15.7"
"266401","14.6","14.6","14.6"
"266542","12.4","12.4","12.4"
"266733","14.2","14.2","14.2"
"266898","15.2","15.2","15.2"
"267079","18.4","18.4","18.4"
"267192","16.7","16.7","16.7"
"267355","16.9","16.9","16.9"
"267520","17.8","17.8","17.8"
"267641","18.4","18.4","18.4"
"267726","16.5","16.5","16.5"
"267969","21.6","21.6","21.6"
"268138","23.3","23.3","23.3"
"268289","20.5","20.5","20.5"
"268460","21.3","21.3","21.3"
"268589","18.7","18.7","18.7"
"268714","18.6","18.6","18.6"
"268825","16.8","16.8","16.8"
"268922","15.7","15.7","15.7"
"269159","18.5","18.5","18.5"
"269280","19.2","19.2","19.2"
"269445","15.2","15.2","15.2"
"269568","13.5","13.5","13.5"
"269657","12.4","12.4","12.4"
"269762","10.6","10.6","10.6"
"269883","10.6","10.6","10.6"
"270000","10.3","10.3","10.3"
"270127","11","11","11"
"270310","13.2","13.2","13.2"
"270475","11.2","11.2","11.2"
"270590","11","11","11"
"270693","9.8","9.8","9.8"
"270786","8.9","8.9","8.9"
"270911","9.5","9.5","9.5"
"271118","11.1","11.1","11.1"
"271219","10.4","10.4","10.4"
"271472","15","15","15"
"271593","14.6","14.6","14.6"
"271702","12.6","12.6","12.6"
"271883","13.4","13.4","13.4"
"271982","13.2","13.2","13.2"
"272085","13.1","13.1","13.1"
"272248","15.3","15.3","15.3"
"272467","20.5","20.5","20.5"
"272582","19.2","19.2","19.2"
"272723","19.3","19.3","19.3"
"272840","15","15","15"
"272943","14.5","14.5","14.5"
"273058","14.8","14.8","14.8"
"273167","13.1","13.1","13.1"
"273398","16.5","16.5","16.5"
"273517","17","17","17"
"273674","16.6","16.6","16.6"
"273867","12.5","12.5","12.5"
"274002","13.1","13.1","13.1"
"274233","15.4","15.4","15.4"
"274390","16.9","16.9","16.9"
"274521","17.1","17.1","17.1"
"274642","17.3","17.3","17.3"
"274755","17.4","17.4","17.4"
"274908","14.5","14.5","14.5"
"275047","14.7","14.7","14.7"
"275260","14.6","14.6","14.6"
"275387","13.5","13.5","13.5"
"275510","13.1","13.1","13.1"
"275617","10.6","10.6","10.6"
"275738","9","9","9"
"275909","10.3","10.3","10.3"
"276080","10.9","10.9","10.9"
"276259","11.9","11.9","11.9"
"276462","12.1","12.1","12.1"
"276595","12.4","12.4","12.4"
"276690","10.7","10.7","10.7"
"276847","11","11","11"
"276972","11","11","11"
"277127","11","11","11"
"277336","14.3","14.3","14.3"
"277499","13.9","13.9","13.9"
"277802","20.4","20.4","20.4"
"277931","19.1","19.1","19.1"
"278024","18.2","18.2","18.2"
"278227","18.9","18.9","18.9"
"278366","19.6","19.6","19.6"
"278545","20.3","20.3","20.3"
"278670","20.1","20.1","20.1"
"278877","22.9","22.9","22.9"
"279050","20.6","20.6","20.6"
"279157","19.4","19.4","19.4"
"279258","11.4","11.4","11.4"
"279453","13.3","13.3","13.3"
"279556","13.5","13.5","13.5"
"279719","13.5","13.5","13.5"
"279834","13.5","13.5","13.5"
"279931","11.8","11.8","11.8"
"280124","13","13","13"
"280223","10.1","10.1","10.1"
"280344","9.1","9.1","9.1"
"280479","10.1","10.1","10.1"
"280616","11","11","11"
"280709","8.9","8.9","8.9"
"280826","9.1","9.1","9.1"
"281019","10.9","10.9","10.9"
"281120","10.5","10.5","10.5"
"281247","11.3","11.3","11.3"
"281440","13.4","13.4","13.4"
"281553","14","14","14"
"281748","17.2","17.2","17.2"
"281905","17.6","17.6","17.6"
"282080","18.3","18.3","18.3"
"282203","19.1","19.1","19.1"
"282336","19.4","19.4","19.4"
"282465","16.7","16.7","16.7"
"282574","16.8","16.8","16.8"
"282679","16.5","16.5","16.5"
"282800","13.5","13.5","13.5"
"282903","13","13","13"
"283010","9.7","9.7","9.7"
"283117","8.3","8.3","8.3"
"283226","7.2","7.2","7.2"
"283383","7.8","7.8","7.8"
"283506","7.8","7.8","7.8"
"283689","8.6","8.6","8.6"
"283886","10.3","10.3","10.3"
"284003","10.6","10.6","10.6"
"284104","9.8","9.8","9.8"
"284249","10.9","10.9","10.9"
"284364","10.6","10.6","10.6"
"284597","13.7","13.7","13.7"
"284760","15.1","15.1","15.1"
"284913","13.9","13.9","13.9"
"285060","14.2","14.2","14.2"
"285259","14.9","14.9","14.9"
"285476","16.3","16.3","16.3"
"285639","17.1","17.1","17.1"
"285744","17.4","17.4","17.4"
"285897","17.5","17.5","17.5"
"286090","19.6","19.6","19.6"
"286295","20.8","20.8","20.8"
"286452","20.9","20.9","20.9"
"286551","21","21","21"
"286678","20.6","20.6","20.6"
"286845","20.4","20.4","20.4"
"287024","19.6","19.6","19.6"
"287183","19.4","19.4","19.4"
"287282","19.2","19.2","19.2"
"287447","19","19","19"
"287648","19.7","19.7","19.7"
"287811","16.6","16.6","16.6"
"287914","14.8","14.8","14.8"
"288097","15.4","15.4","15.4"
"288210","15.4","15.4","15.4"
"288351","14.4","14.4","14.4"
"288548","14.2","14.2","14.2"
"288659","13.4","13.4","13.4"
"288786","14.3","14.3","14.3"
"288889","13.6","13.6","13.6"
"289004","11.1","11.1","11.1"
"289163","11.7","11.7","11.7"
"289358","14.6","14.6","14.6"
"289547","16.3","16.3","16.3"
"289682","16.4","16.4","16.4"
"289781","15.3","15.3","15.3"
"289936","14.1","14.1","14.1"
"290089","15.3","15.3","15.3"
"290202","14.6","14.6","14.6"
"290357","15.2","15.2","15.2"
"290464","15","15","15"
"290655","14.4","14.4","14.4"
"290794","12.5","12.5","12.5"
"290997","11.8","11.8","11.8"
"291242","18","18","18"
"291375","18.8","18.8","18.8"
"291464","17.6","17.6","17.6"
"291559","16","16","16"
"291680","16.3","16.3","16.3"
"291845","16.6","16.6","16.6"
"291992","17.9","17.9","17.9"
"292211","19.3","19.3","19.3"
"292336","19","19","19"
"292511","18.7","18.7","18.7"
"292670","13.6","13.6","13.6"
"292853","14.8","14.8","14.8"
"292958","14.9","14.9","14.9"
"293075","15.5","15.5","15.5"
"293212","16","16","16"
"293421","17.6","17.6","17.6"
"293658","19.5","19.5","19.5"
"293873","22.2","22.2","22.2"
"294052","23.2","23.2","23.2"
"294163","22","22","22"
"294322","21.4","21.4","21.4"
"294441","20","20","20"
"294556","20.4","20.4","20.4"
"294691","20.4","20.4","20.4"
"294806","19.7","19.7","19.7"
"294921","17.3","17.3","17.3"
"295024","14.1","14.1","14.1"
"295245","12.1","12.1","12.1"
"295370","11","11","11"
"295535","12.7","12.7","12.7"
"295720","13","13","13"
"295925","16.7","16.7","16.7"
"296060","17.3","17.3","17.3"
"296197","17.4","17.4","17.4"
"296336","18","18","18"
"296467","17.7","17.7","17.7"
"296576","17.9","17.9","17.9"
"296831","17","17","17"
"297030","19.7","19.7","19.7"
"297135","17.7","17.7","17.7"
"297346","19","19","19"
"297531","16.2","16.2","16.2"
"297658","15.9","15.9","15.9"
"297827","16.9","16.9","16.9"
"297960","16.9","16.9","16.9"
"298091","17.2","17.2","17.2"
"298238","17.9","17.9","17.9"
"298361","16.2","16.2","16.2"
"298492","13.3","13.3","13.3"
"298707","16.2","16.2","16.2"
"298840","14.3","14.3","14.3"
"298957","12.8","12.8","12.8"
"299096","12.6","12.6","12.6"
"299285","12.5","12.5","12.5"
"299376","11.4","11.4","11.4"
"299493","11.6","11.6","11.6"
"299630","11.3","11.3","11.3"
"299801","12.2","12.2","12.2"
"299894","11.7","11.7","11.7"
"299991","8.7","8.7","8.7"
"300252","12.3","12.3","12.3"
"300451","14.9","14.9","14.9"
"300652","15.6","15.6","15.6"
"300819","15.1","15.1","15.1"
"300974","16.2","16.2","16.2"
"301165","17.1","17.1","17.1"
"301300","17.1","17.1","17.1"
"301487","17.7","17.7","17.7"
"301632","18.6","18.6","18.6"
"301743","19","19","19"
"301894","15.6","15.6","15.6"
"302105","16.7","16.7","16.7"
"302308","18.1","18.1","18.1"
"302411","16.8","16.8","16.8"
"302584","18","18","18"
"302743","17.5","17.5","17.5"
"302860","17.1","17.1","17.1"
"303021","16.1","16.1","16.1"
"303166","16.1","16.1","16.1"
"303351","17.7","17.7","17.7"
"303488","17.6","17.6","17.6"
"303643","15","15","15"
"303748","12.5","12.5","12.5"
"303855","12.9","12.9","12.9"
"303956","10.8","10.8","10.8"
"304153","12.2","12.2","12.2"
"304386","14.2","14.2","14.2"
"304595","14.4","14.4","14.4"
"304712","13.5","13.5","13.5"
"304821","11.9","11.9","11.9"
"305038","14.1","14.1","14.1"
"305151","13.3","13.3","13.3"
"305292","14","14","14"
"305389","13.6","13.6","13.6"
"305486","13.5","13.5","13.5"
"305679","12.3","12.3","12.3"
"305928","14.1","14.1","14.1"
"306115","15.2","15.2","15.2"
"306208","15.3","15.3","15.3"
"306335","15.7","15.7","15.7"
"306442","13.2","13.2","13.2"
"306549","13.2","13.2","13.2"
"306760","16.3","16.3","16.3"
"306851","16.2","16.2","16.2"
"306968","16.8","16.8","16.8"
"307167","18.6","18.6","18.6"
"307328","16.1","16.1","16.1"
"307499","14.8","14.8","14.8"
"307632","15.2","15.2","15.2"
"307813","16.8","16.8","16.8"
"307998","17.2","17.2","17.2"
"308163","18.4","18.4","18.4"
"308262","14.6","14.6","14.6"
"308417","14.7","14.7","14.7"
"308574","15.6","15.6","15.6"
"308729","13.9","13.9","13.9"
"308926","15.3","15.3","15.3"
"309095","15.4","15.4","15.4"
"309270","17.8","17.8","17.8"
"309471","17.2","17.2","17.2"
"309694","19.5","19.5","19.5"
"309849","19.1","19.1","19.1"
"309956","19","19","19"
"310041","18.9","18.9","18.9"
"310238","20.3","20.3","20.3"
"310339","19.1","19.1","19.1"
"310484","17","17","17"
"310683","18.1","18.1","18.1"
"310904","20.5","20.5","20.5"
"311143","23.7","23.7","23.7"
"311260","20.7","20.7","20.7"
"311367","19.8","19.8","19.8"
"311532","21.8","21.8","21.8"
"311719","25","25","25"
"311926","23.6","23.6","23.6"
"312063","24","24","24"
"312254","25.3","25.3","25.3"
"312461","25","25","25"
"312710","22.7","22.7","22.7"
"312835","18.5","18.5","18.5"
"313002","19.5","19.5","19.5"
"313141","20.4","20.4","20.4"
"313326","20.6","20.6","20.6"
"313425","17.5","17.5","17.5"
"313536","16.4","16.4","16.4"
"313679","17.1","17.1","17.1"
"313874","18.1","18.1","18.1"
"314005","16.9","16.9","16.9"
"314176","16.2","16.2","16.2"
"314333","17.2","17.2","17.2"
"314538","21.1","21.1","21.1"
"314649","20.4","20.4","20.4"
"314886","21.3","21.3","21.3"
"315007","21.7","21.7","21.7"
"315178","23.4","23.4","23.4"
"315309","22.5","22.5","22.5"
"315470","20.3","20.3","20.3"
"315691","23.1","23.1","23.1"
"315802","21.4","21.4","21.4"
"315915","20.2","20.2","20.2"
"316094","18.1","18.1","18.1"
"316209","18.2","18.2","18.2"
"316316","15","15","15"
"316505","18.3","18.3","18.3"
"316716","19.2","19.2","19.2"
"316819","18.9","18.9","18.9"
"316960","18.8","18.8","18.8"
"317191","19.1","19.1","19.1"
"317344","20.9","20.9","20.9"
"317515","21.9","21.9","21.9"
"317622","19","19","19"
"317745","19.2","19.2","19.2"
"317950","21.7","21.7","21.7"
"318117","19.7","19.7","19.7"
"318272","18.2","18.2","18.2"
"318447","20.1","20.1","20.1"
"318624","20.6","20.6","20.6"
"318743","17","17","17"
"318868","15.4","15.4","15.4"
"318985","14.4","14.4","14.4"
"319116","14.5","14.5","14.5"
"319239","14.7","14.7","14.7"
"319404","13.5","13.5","13.5"
"319601","14.7","14.7","14.7"
"319736","14.1","14.1","14.1"
"319851","12.4","12.4","12.4"
"320050","12.8","12.8","12.8"
"320165","12.8","12.8","12.8"
"320370","14.9","14.9","14.9"
"320543","17.5","17.5","17.5"
"320652","17.4","17.4","17.4"
"320803","18.2","18.2","18.2"
"320910","17.3","17.3","17.3"
"321077","16.3","16.3","16.3"
"321248","17.6","17.6","17.6"
"321375","17.6","17.6","17.6"
"321518","16.9","16.9","16.9"
"321721","20.4","20.4","20.4"
"321842","18.3","18.3","18.3"
"321941","15.3","15.3","15.3"
"322104","16.8","16.8","16.8"
"322267","16.5","16.5","16.5"
"322402","16.8","16.8","16.8"
"322575","16.9","16.9","16.9"
"322794","18.6","18.6","18.6"
"322949","19","19","19"
"323134","21","21","21"
"323249","17.6","17.6","17.6"
"323418","19.5","19.5","19.5"
"323635","25.6","25.6","25.6"
"323884","31.9","31.9","31.9"
"323997","30.8","30.8","30.8"
"324206","32.8","32.8","32.8"
"324353","31.9","31.9","31.9"
"324456","28.2","28.2","28.2"
"324615","29.6","29.6","29.6"
"324782","28.9","28.9","28.9"
"324955","30.5","30.5","30.5"
"325118","29","29","29"
"325347","25.2","25.2","25.2"
"325498","18.4","18.4","18.4"
"325779","24.3","24.3","24.3"
"325944","23.5","23.5","23.5"
"326111","23.5","23.5","23.5"
"326298","25.2","25.2","25.2"
"326381","23.1","23.1","23.1"
"326492","21.3","21.3","21.3"
"326611","19.7","19.7","19.7"
"326744","19.5","19.5","19.5"
"326833","17","17","17"
"326980","16.9","16.9","16.9"
"327059","10.5","10.5","10.5"
"327148","8.6","8.6","8.6"
"327337","10.4","10.4","10.4"
"327524","11.2","11.2","11.2"
"327609","11.2","11.2","11.2"
"327810","13.3","13.3","13.3"
"327993","15.6","15.6","15.6"
"328088","14.7","14.7","14.7"
"328267","18.5","18.5","18.5"
"328392","18","18","18"
"328517","19","19","19"
"328626","19.4","19.4","19.4"
"328731","16.8","16.8","16.8"
"328914","15.8","15.8","15.8"
"329069","16.8","16.8","16.8"
"329212","15.3","15.3","15.3"
"329379","15.1","15.1","15.1"
"329550","17.5","17.5","17.5"
"329765","17.2","17.2","17.2"
"329898","17.4","17.4","17.4"
"330017","17.1","17.1","17.1"
"330206","20.1","20.1","20.1"
"330335","20.8","20.8","20.8"
"330520","20.7","20.7","20.7"
"330669","20.7","20.7","20.7"
"330816","20.5","20.5","20.5"
"331043","21.4","21.4","21.4"
"331156","19.4","19.4","19.4"
"331355","19","19","19"
"331468","18.5","18.5","18.5"
"331593","18.9","18.9","18.9"
"331714","16","16","16"
"331893","18.4","18.4","18.4"
"332024","17.9","17.9","17.9"
"332153","17.9","17.9","17.9"
"332312","18.4","18.4","18.4"
"332497","15.6","15.6","15.6"
"332662","16.2","16.2","16.2"
"332785","13.6","13.6","13.6"
"332954","15.5","15.5","15.5"
"333115","16.7","16.7","16.7"
"333236","16.6","16.6","16.6"
"333489","17.9","17.9","17.9"
"333612","17.2","17.2","17.2"
"333805","17.6","17.6","17.6"
"333912","16.2","16.2","16.2"
"334029","15.6","15.6","15.6"
"334194","16.5","16.5","16.5"
"334403","19.9","19.9","19.9"
"334552","18.5","18.5","18.5"
"334673","17.1","17.1","17.1"
"334812","17.8","17.8","17.8"
"334919","13.4","13.4","13.4"
"335130","16.4","16.4","16.4"
"335333","18.3","18.3","18.3"
"335468","19.5","19.5","19.5"
"335681","24.6","24.6","24.6"
"335880","24.3","24.3","24.3"
"336065","21.9","21.9","21.9"
"336182","21.4","21.4","21.4"
"336291","20.7","20.7","20.7"
"336422","20.4","20.4","20.4"
"336527","20.3","20.3","20.3"
"336750","20.3","20.3","20.3"
"336879","17.8","17.8","17.8"
"337040","18.3","18.3","18.3"
"337207","15","15","15"
"337334","14","14","14"
"337453","13","13","13"
"337564","12.7","12.7","12.7"
