"Step","kind-music-2 - immediate_reward","kind-music-2 - immediate_reward__MIN","kind-music-2 - immediate_reward__MAX"
"45388","0","0","0"
"45595","0","0","0"
"45813","1","1","1"
"46489","0","0","0"
"46661","0","0","0"
"46770","1","1","1"
"46820","0","0","0"
"46877","0","0","0"
"46974","0","0","0"
"46978","0","0","0"
"47002","0","0","0"
"47145","0","0","0"
"47805","0","0","0"
"47867","1","1","1"
"47921","1","1","1"
"48063","1","1","1"
"48083","0","0","0"
"48622","0","0","0"
"48761","0","0","0"
"48935","0","0","0"
"48975","0","0","0"
"49218","0","0","0"
"49226","0","0","0"
"49268","0","0","0"
"49571","1","1","1"
"49593","0","0","0"
"49678","0","0","0"
"49714","1","1","1"
"49907","0","0","0"
"50091","0","0","0"
"50238","0","0","0"
"50290","1","1","1"
"50446","0","0","0"
"50484","0","0","0"
"50700","0","0","0"
"51015","0","0","0"
"51126","0","0","0"
"51198","0","0","0"
"51277","1","1","1"
"51590","0","0","0"
"51705","0","0","0"
"51709","0","0","0"
"51788","0","0","0"
"52022","0","0","0"
"52256","0","0","0"
"52327","0","0","0"
"52591","0","0","0"
"52639","0","0","0"
"52847","0","0","0"
"53069","0","0","0"
"53230","0","0","0"
"53266","0","0","0"
"53331","0","0","0"
"53349","0","0","0"
"53803","0","0","0"
"53805","0","0","0"
"53967","0","0","0"
"54017","0","0","0"
"54074","0","0","0"
"54187","0","0","0"
"54455","0","0","0"
"54516","1","1","1"
"55134","0","0","0"
"55388","0","0","0"
"55501","0","0","0"
"55636","0","0","0"
"55765","0","0","0"
"55888","0","0","0"
"56155","0","0","0"
"56710","0","0","0"
"56811","0","0","0"
"56903","0","0","0"
"57129","0","0","0"
"57240","0","0","0"
"57387","0","0","0"
"57601","0","0","0"
"57670","0","0","0"
"57698","0","0","0"
"57759","0","0","0"
"57840","0","0","0"
"57892","0","0","0"
"58217","0","0","0"
"58228","0","0","0"
"58325","1","1","1"
"58605","0","0","0"
"58698","1","1","1"
"58714","0","0","0"
"58797","0","0","0"
"58918","0","0","0"
"59195","0","0","0"
"59318","0","0","0"
"59613","0","0","0"
"59987","0","0","0"
"60390","0","0","0"
"60398","0","0","0"
"60406","0","0","0"
"60624","0","0","0"
"60688","0","0","0"
"60814","0","0","0"
"61359","1","1","1"
"61496","0","0","0"
"61552","0","0","0"
"61865","0","0","0"
"61944","0","0","0"
"61964","0","0","0"
"61980","0","0","0"
"62060","0","0","0"
"62157","0","0","0"
"62230","0","0","0"
"62289","0","0","0"
"62373","0","0","0"
"62461","0","0","0"
"62668","0","0","0"
"62755","0","0","0"
"62822","0","0","0"
"63119","0","0","0"
"63224","0","0","0"
"63530","0","0","0"
"63629","0","0","0"
"63658","0","0","0"
"63726","0","0","0"
"63779","0","0","0"
"63829","0","0","0"
"63966","0","0","0"
"64038","0","0","0"
"64069","0","0","0"
"64073","0","0","0"
"64099","0","0","0"
"64456","1","1","1"
"64850","0","0","0"
"64920","0","0","0"
"65112","0","0","0"
"65249","0","0","0"
"65558","0","0","0"
"65562","0","0","0"
"65628","0","0","0"
"65840","0","0","0"
"66092","0","0","0"
"66750","0","0","0"
"67002","1","1","1"
"67093","0","0","0"
"67481","0","0","0"
"67551","0","0","0"
"67572","1","1","1"
"67856","0","0","0"
"68106","0","0","0"
"68112","0","0","0"
"68124","0","0","0"
"68237","0","0","0"
"68690","0","0","0"
"68916","0","0","0"
"69077","1","1","1"
"69287","0","0","0"
"69325","0","0","0"
"69951","0","0","0"
"69959","0","0","0"
"70360","0","0","0"
"70435","0","0","0"
"70766","0","0","0"
"71299","0","0","0"
"71345","0","0","0"
"71353","4","4","4"
"71460","0","0","0"
"71596","1","1","1"
"71806","0","0","0"
"71816","0","0","0"
"72012","0","0","0"
"72192","0","0","0"
"72295","0","0","0"
"72297","0","0","0"
"72301","0","0","0"
"72385","0","0","0"
"72398","0","0","0"
"72930","0","0","0"
"73201","0","0","0"
"73237","0","0","0"
"73504","0","0","0"
"73623","0","0","0"
"74212","0","0","0"
"74367","0","0","0"
"74674","0","0","0"
"74783","0","0","0"
"74852","0","0","0"
"74894","0","0","0"
"75118","1","1","1"
"75405","0","0","0"
"75695","0","0","0"
"75735","0","0","0"
"75759","1","1","1"
"75891","0","0","0"
"75923","0","0","0"
"75925","0","0","0"
"75980","0","0","0"
"76010","0","0","0"
"76149","0","0","0"
"76186","0","0","0"
"76309","0","0","0"
"76411","0","0","0"
"76413","0","0","0"
"76847","0","0","0"
"76910","0","0","0"
"77406","0","0","0"
"77481","0","0","0"
"77858","1","1","1"
"78132","0","0","0"
"78336","0","0","0"
"78348","0","0","0"
"78594","0","0","0"
"78697","0","0","0"
"78729","0","0","0"
"78854","0","0","0"
"78933","0","0","0"
"79183","0","0","0"
"79211","0","0","0"
"79400","0","0","0"
"79413","0","0","0"
"79636","1","1","1"
"79809","0","0","0"
"79917","0","0","0"
"79992","0","0","0"
"80000","0","0","0"
"80004","0","0","0"
"80129","0","0","0"
"80551","0","0","0"
"80698","0","0","0"
"81333","0","0","0"
"81630","0","0","0"
"81717","0","0","0"
"81854","0","0","0"
"81897","0","0","0"
"82234","0","0","0"
"82302","0","0","0"
"82831","0","0","0"
"83021","0","0","0"
"83162","0","0","0"
"83180","0","0","0"
"83239","0","0","0"
"83378","0","0","0"
"83525","0","0","0"
"83707","0","0","0"
"83786","0","0","0"
"83881","0","0","0"
"83976","0","0","0"
"83994","0","0","0"
"84070","0","0","0"
"84161","0","0","0"
"84191","0","0","0"
"84212","0","0","0"
"84753","0","0","0"
"84922","0","0","0"
"85029","1","1","1"
"85390","0","0","0"
"85479","0","0","0"
"85576","0","0","0"
"85895","0","0","0"
"86070","0","0","0"
"86256","0","0","0"
"86302","0","0","0"
"86417","0","0","0"
"86540","0","0","0"
"87078","0","0","0"
"87149","0","0","0"
"87151","0","0","0"
"87442","0","0","0"
"87708","0","0","0"
"87803","0","0","0"
"87863","1","1","1"
"88178","0","0","0"
"88213","0","0","0"
"88263","0","0","0"
"88618","0","0","0"
"88699","0","0","0"
"88836","0","0","0"
"88987","0","0","0"
"89058","0","0","0"
"89112","0","0","0"
"89580","0","0","0"
"89810","0","0","0"
"89927","0","0","0"
"90074","0","0","0"
"90098","0","0","0"
"90204","0","0","0"
