"Step","eternal-fog-16 - mean_reward","eternal-fog-16 - mean_reward__MIN","eternal-fog-16 - mean_reward__MAX"
"69","9.11904761904762","9.11904761904762","9.11904761904762"
"127","9.261904761904763","9.261904761904763","9.261904761904763"
"208","6.825396825396826","6.825396825396826","6.825396825396826"
"318","6.1607142857142865","6.1607142857142865","6.1607142857142865"
"404","5.142857142857144","5.142857142857144","5.142857142857144"
"484","4.2817460317460325","4.2817460317460325","4.2817460317460325"
"564","4.0068027210884365","4.0068027210884365","4.0068027210884365"
"638","3.4880952380952386","3.4880952380952386","3.4880952380952386"
"715","4.230158730158731","4.230158730158731","4.230158730158731"
"786","3.7642857142857147","3.7642857142857147","3.7642857142857147"
"863","2.7357142857142858","2.7357142857142858","2.7357142857142858"
"949","1.9523809523809526","1.9523809523809526","1.9523809523809526"
"1023","2.6071428571428577","2.6071428571428577","2.6071428571428577"
"1127","2.488095238095238","2.488095238095238","2.488095238095238"
"1204","2.992857142857143","2.992857142857143","2.992857142857143"
"1302","3.7476190476190476","3.7476190476190476","3.7476190476190476"
"1391","3.9404761904761907","3.9404761904761907","3.9404761904761907"
"1468","5.523809523809524","5.523809523809524","5.523809523809524"
"1554","5.140476190476191","5.140476190476191","5.140476190476191"
"1628","5.128571428571429","5.128571428571429","5.128571428571429"
"1723","4.864285714285716","4.864285714285716","4.864285714285716"
"1818","4.769047619047619","4.769047619047619","4.769047619047619"
"1895","4.502380952380953","4.502380952380953","4.502380952380953"
"1993","4.669047619047619","4.669047619047619","4.669047619047619"
"2079","4.419047619047619","4.419047619047619","4.419047619047619"
"2171","4.226190476190476","4.226190476190476","4.226190476190476"
"2278","4.692857142857143","4.692857142857143","4.692857142857143"
"2373","4.630952380952381","4.630952380952381","4.630952380952381"
"2450","4.195238095238095","4.195238095238095","4.195238095238095"
"2536","4.911904761904762","4.911904761904762","4.911904761904762"
"2652","6.528571428571429","6.528571428571429","6.528571428571429"
"2741","7.552380952380953","7.552380952380953","7.552380952380953"
"2848","7.802380952380955","7.802380952380955","7.802380952380955"
"2940","8.2","8.2","8.2"
"3017","8.42857142857143","8.42857142857143","8.42857142857143"
"3103","7.716666666666669","7.716666666666669","7.716666666666669"
"3180","7.678571428571429","7.678571428571429","7.678571428571429"
"3281","6.842857142857143","6.842857142857143","6.842857142857143"
"3373","7.669047619047619","7.669047619047619","7.669047619047619"
