Experiment 1/8: {'learning_rate': 0.0005, 'batch_size': 64, 'epsilon_decay': 0.999985, 'gamma': 0.99}
Frame:207956 | Total games:830 | Mean reward: 129.103 (epsilon: 0.04)
Frame:211410 | Total games:840 | Mean reward: 76.917 (epsilon: 0.04)
Frame:214663 | Total games:850 | Mean reward: 2.045 (epsilon: 0.04)
Frame:219012 | Total games:860 | Mean reward: 88.019 (epsilon: 0.04)
Frame:223260 | Total games:870 | Mean reward: -0.341 (epsilon: 0.04)
Frame:225908 | Total games:880 | Mean reward: 17.047 (epsilon: 0.03)
Frame:230205 | Total games:890 | Mean reward: 158.836 (epsilon: 0.03)
Frame:230807 | Total games:892 | Mean reward: 214.060 (epsilon: 0.03)
SOLVED in 230807 frames and 892 games
Mean Reward: 36.93
New model saved with reward 36.93
Hyperparameters saved: {'learning_rate': 0.0005, 'batch_size': 64, 'epsilon_decay': 0.999985, 'gamma': 0.99}
Training data saved to /content/drive/Othercomputers/My Laptop/3r AI/1st Semester/Paradigms Machine Learning/Pràctica 2/Prioritized Exp/experiment_1/training_data.json
Experiment 2/8: {'learning_rate': 0.0005, 'batch_size': 64, 'epsilon_decay': 0.99993, 'gamma': 0.99}
Frame:857 | Total games:10 | Mean reward: -182.467 (epsilon: 0.94)
Frame:1861 | Total games:20 | Mean reward: -153.804 (epsilon: 0.88)
Frame:2902 | Total games:30 | Mean reward: -172.431 (epsilon: 0.82)
Frame:3996 | Total games:40 | Mean reward: -199.762 (epsilon: 0.76)
Frame:5099 | Total games:50 | Mean reward: -114.900 (epsilon: 0.70)
Frame:6276 | Total games:60 | Mean reward: -151.899 (epsilon: 0.64)
Frame:7624 | Total games:70 | Mean reward: -148.869 (epsilon: 0.59)
Frame:8994 | Total games:80 | Mean reward: -105.778 (epsilon: 0.53)
Frame:10572 | Total games:90 | Mean reward: -129.933 (epsilon: 0.48)
Frame:12376 | Total games:100 | Mean reward: -104.100 (epsilon: 0.42)
Frame:14135 | Total games:110 | Mean reward: -128.697 (epsilon: 0.37)
Frame:17019 | Total games:120 | Mean reward: -94.301 (epsilon: 0.30)
Frame:23306 | Total games:130 | Mean reward: -78.572 (epsilon: 0.20)
Frame:30648 | Total games:140 | Mean reward: -59.700 (epsilon: 0.12)
Frame:35653 | Total games:150 | Mean reward: -66.590 (epsilon: 0.08)
Frame:40347 | Total games:160 | Mean reward: 7.562 (epsilon: 0.06)
Frame:43714 | Total games:170 | Mean reward: 151.148 (epsilon: 0.05)
Frame:46522 | Total games:180 | Mean reward: -23.518 (epsilon: 0.04)
Frame:48980 | Total games:190 | Mean reward: -14.536 (epsilon: 0.03)
Frame:52364 | Total games:200 | Mean reward: 50.669 (epsilon: 0.03)
Frame:56490 | Total games:210 | Mean reward: 28.259 (epsilon: 0.02)
Frame:59862 | Total games:220 | Mean reward: 204.121 (epsilon: 0.02)
SOLVED in 59862 frames and 220 games
Mean Reward: 19.88
New model saved with reward 19.88
Hyperparameters saved: {'learning_rate': 0.0005, 'batch_size': 64, 'epsilon_decay': 0.99993, 'gamma': 0.99}
Training data saved to /content/drive/Othercomputers/My Laptop/3r AI/1st Semester/Paradigms Machine Learning/Pràctica 2/Prioritized Exp/experiment_2/training_data.json
Experiment 3/8: {'learning_rate': 0.0005, 'batch_size': 128, 'epsilon_decay': 0.999985, 'gamma': 0.99}
Frame:903 | Total games:10 | Mean reward: -165.780 (epsilon: 0.99)
