Frame:277387 | Total games:5300 | Mean reward: 5.600 (epsilon: 0.66)
Frame:282948 | Total games:5400 | Mean reward: 4.600 (epsilon: 0.65)
Frame:288624 | Total games:5500 | Mean reward: 6.200 (epsilon: 0.65)
Frame:294265 | Total games:5600 | Mean reward: 4.400 (epsilon: 0.64)
Frame:300019 | Total games:5700 | Mean reward: 6.700 (epsilon: 0.64)
Frame:305574 | Total games:5800 | Mean reward: 5.500 (epsilon: 0.63)
Frame:311101 | Total games:5900 | Mean reward: 6.300 (epsilon: 0.63)
Frame:316759 | Total games:6000 | Mean reward: 7.600 (epsilon: 0.62)
Frame:322546 | Total games:6100 | Mean reward: 5.400 (epsilon: 0.62)
Frame:328110 | Total games:6200 | Mean reward: 5.000 (epsilon: 0.61)
Frame:333919 | Total games:6300 | Mean reward: 5.800 (epsilon: 0.61)
Frame:339577 | Total games:6400 | Mean reward: 6.100 (epsilon: 0.60)
Frame:345253 | Total games:6500 | Mean reward: 6.400 (epsilon: 0.60)
Frame:351164 | Total games:6600 | Mean reward: 7.600 (epsilon: 0.59)
Frame:356773 | Total games:6700 | Mean reward: 8.700 (epsilon: 0.59)
Frame:362921 | Total games:6800 | Mean reward: 8.300 (epsilon: 0.58)
Frame:369135 | Total games:6900 | Mean reward: 5.700 (epsilon: 0.57)
Frame:375194 | Total games:7000 | Mean reward: 8.100 (epsilon: 0.57)
Frame:381061 | Total games:7100 | Mean reward: 6.500 (epsilon: 0.56)
Frame:387162 | Total games:7200 | Mean reward: 9.000 (epsilon: 0.56)
Frame:393123 | Total games:7300 | Mean reward: 5.700 (epsilon: 0.55)
Frame:399104 | Total games:7400 | Mean reward: 5.800 (epsilon: 0.55)
Frame:405482 | Total games:7500 | Mean reward: 17.800 (epsilon: 0.54)
Frame:411785 | Total games:7600 | Mean reward: 13.600 (epsilon: 0.54)
Frame:417831 | Total games:7700 | Mean reward: 6.800 (epsilon: 0.53)
Frame:423788 | Total games:7800 | Mean reward: 8.300 (epsilon: 0.53)
Frame:429875 | Total games:7900 | Mean reward: 7.500 (epsilon: 0.52)
Frame:436348 | Total games:8000 | Mean reward: 6.800 (epsilon: 0.52)
Frame:442289 | Total games:8100 | Mean reward: 9.500 (epsilon: 0.52)
Frame:448473 | Total games:8200 | Mean reward: 6.900 (epsilon: 0.51)
Frame:454573 | Total games:8300 | Mean reward: 6.900 (epsilon: 0.51)
Frame:461051 | Total games:8400 | Mean reward: 9.200 (epsilon: 0.50)
Frame:467257 | Total games:8500 | Mean reward: 4.400 (epsilon: 0.50)
Frame:473171 | Total games:8600 | Mean reward: 5.700 (epsilon: 0.49)
Frame:479624 | Total games:8700 | Mean reward: 8.800 (epsilon: 0.49)
Frame:486103 | Total games:8800 | Mean reward: 8.900 (epsilon: 0.48)
Frame:493025 | Total games:8900 | Mean reward: 12.400 (epsilon: 0.48)
Frame:499114 | Total games:9000 | Mean reward: 14.700 (epsilon: 0.47)
Frame:505282 | Total games:9100 | Mean reward: 4.500 (epsilon: 0.47)
Frame:511893 | Total games:9200 | Mean reward: 9.200 (epsilon: 0.46)
Frame:518506 | Total games:9300 | Mean reward: 16.500 (epsilon: 0.46)
Frame:524899 | Total games:9400 | Mean reward: 12.200 (epsilon: 0.46)
Frame:531631 | Total games:9500 | Mean reward: 12.600 (epsilon: 0.45)
Frame:538457 | Total games:9600 | Mean reward: 17.100 (epsilon: 0.45)
Frame:544999 | Total games:9700 | Mean reward: 6.400 (epsilon: 0.44)
Frame:551691 | Total games:9800 | Mean reward: 14.300 (epsilon: 0.44)
Frame:558178 | Total games:9900 | Mean reward: 10.700 (epsilon: 0.43)
Frame:564912 | Total games:10000 | Mean reward: 10.800 (epsilon: 0.43)
Mean Reward: 12.73
New model saved with reward 12.73
Hyperparameters saved: {'learning_rate': 0.0005, 'batch_size': 64, 'gamma': 0.99, 'epsilon_decay': 0.9999985, 'target_update_freq': 500}
Training data saved to ./Runs/experiment_1/training_data.json
Experiment 2/4: {'learning_rate': 0.0005, 'batch_size': 64, 'gamma': 0.99, 'epsilon_decay': 0.999995, 'target_update_freq': 500}
Frame:5031 | Total games:100 | Mean reward: 2.800 (epsilon: 0.98)
Frame:9956 | Total games:200 | Mean reward: 3.300 (epsilon: 0.95)
Frame:15031 | Total games:300 | Mean reward: 1.800 (epsilon: 0.93)
Frame:20120 | Total games:400 | Mean reward: 3.500 (epsilon: 0.90)
Frame:25230 | Total games:500 | Mean reward: 4.100 (epsilon: 0.88)
Frame:30243 | Total games:600 | Mean reward: 5.000 (epsilon: 0.86)
Frame:35417 | Total games:700 | Mean reward: 5.400 (epsilon: 0.84)
Frame:40529 | Total games:800 | Mean reward: 3.700 (epsilon: 0.82)
wandb:                                                                                
wandb: 
wandb: Run history:
wandb: cumulative_reward ▂▁▁▁▁▂▂▃▂▃▃▁▂▁▂▁▂▃█▃▂▃▄▆▆▅▇▁▁▁▁▁▁▁▁▁▁▁▁▁
wandb:           episode ▁▂▂▂▂▂▂▂▃▃▃▃▃▃▃▃▃▄▄▅▅▅▅▅▅▆▆▆▆▆▆▇▇▇▇█████
wandb:           epsilon ███▇▇▅▅▅▅▄▄▄▄▄▄▃▃▃▂▂▂▂▂▂▂▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁
wandb:      frame_number ▁▁▁▁▂▂▂▂▂▂▂▂▂▃▃▃▃▃▃▄▄▄▄▅▅▆▆▆▆▆▆▆▆▇██████
wandb:  immediate_reward ▁▁▁▁▁▅▁▁▅█▁▁█▁▁▁▁▁▅▁▁██▁▁▁▁▅▁▁▁▁▁▁▁▁▁▁▁▁
wandb:              loss ▁▁▁▁▁▁▁▁▃▁▂▃▃▅▄▅█▄▃▆▆▄█▄▅▃▃▃▄▃▂▃▃▃▂▁▂▂▃▅
wandb:       mean_reward ▁▁▁▂▂▁▂▃▃▃▃▅▄▅▄▅█▆▆▇██▇▆█▄▅▄▁▁▁▁▁▁▁▁▁▁▁▁
wandb: 
wandb: Run summary:
wandb: cumulative_reward 0
wandb:           episode 10000
wandb:           epsilon 0.03962
wandb:      frame_number 645705
wandb:  immediate_reward 0
wandb:              loss 1.31774
wandb:       mean_reward 1.8
wandb: 
wandb: 🚀 View run smart-eon-322 at: https://wandb.ai/andreugaski-universitat-aut-noma-de-barcelona/DQN_Kaboom/runs/udfiy2pf
wandb: ⭐️ View project at: https://wandb.ai/andreugaski-universitat-aut-noma-de-barcelona/DQN_Kaboom
wandb: Synced 5 W&B file(s), 0 media file(s), 0 artifact file(s) and 0 other file(s)
wandb: Find logs at: /fhome/pmlai01/DQN/Working/wandb/wandb/run-20241210_205457-udfiy2pf/logs
wandb: Tracking run with wandb version 0.18.7
wandb: Run data is saved locally in /fhome/pmlai01/DQN/Working/wandb/wandb/run-20241211_005227-osyakqmk
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run sunny-armadillo-323
wandb: ⭐️ View project at https://wandb.ai/andreugaski-universitat-aut-noma-de-barcelona/DQN_Kaboom
wandb: 🚀 View run at https://wandb.ai/andreugaski-universitat-aut-noma-de-barcelona/DQN_Kaboom/runs/osyakqmk
Frame:45506 | Total games:900 | Mean reward: 4.200 (epsilon: 0.80)
Frame:50704 | Total games:1000 | Mean reward: 5.600 (epsilon: 0.78)
Frame:56154 | Total games:1100 | Mean reward: 5.300 (epsilon: 0.76)
Frame:61740 | Total games:1200 | Mean reward: 8.100 (epsilon: 0.73)
Frame:67042 | Total games:1300 | Mean reward: 4.800 (epsilon: 0.72)
Frame:72543 | Total games:1400 | Mean reward: 5.600 (epsilon: 0.70)
Frame:78246 | Total games:1500 | Mean reward: 6.200 (epsilon: 0.68)
Frame:83646 | Total games:1600 | Mean reward: 5.500 (epsilon: 0.66)
Frame:89461 | Total games:1700 | Mean reward: 5.000 (epsilon: 0.64)
Frame:95000 | Total games:1800 | Mean reward: 4.300 (epsilon: 0.62)
Frame:100981 | Total games:1900 | Mean reward: 13.000 (epsilon: 0.60)
Frame:107017 | Total games:2000 | Mean reward: 6.000 (epsilon: 0.59)
Frame:113063 | Total games:2100 | Mean reward: 8.800 (epsilon: 0.57)
Frame:119020 | Total games:2200 | Mean reward: 6.600 (epsilon: 0.55)
Frame:125193 | Total games:2300 | Mean reward: 9.700 (epsilon: 0.53)
Frame:131594 | Total games:2400 | Mean reward: 10.500 (epsilon: 0.52)
Frame:137713 | Total games:2500 | Mean reward: 10.800 (epsilon: 0.50)
Frame:144368 | Total games:2600 | Mean reward: 9.200 (epsilon: 0.49)
Frame:150982 | Total games:2700 | Mean reward: 10.200 (epsilon: 0.47)
Frame:157563 | Total games:2800 | Mean reward: 12.300 (epsilon: 0.45)
Frame:164562 | Total games:2900 | Mean reward: 13.200 (epsilon: 0.44)
Frame:171033 | Total games:3000 | Mean reward: 12.700 (epsilon: 0.43)
Frame:177796 | Total games:3100 | Mean reward: 13.900 (epsilon: 0.41)
Frame:184821 | Total games:3200 | Mean reward: 19.800 (epsilon: 0.40)
Frame:191905 | Total games:3300 | Mean reward: 15.100 (epsilon: 0.38)
Frame:199230 | Total games:3400 | Mean reward: 17.200 (epsilon: 0.37)
